Timestamp,Direction,ID,Byte0,Byte1,Byte2,Byte3,Byte4,Byte5,Byte6,Byte7,Description
17:18:01.635,  ,200,03,26,02,51,03,20,C0,00,PCM
17:18:01.636,  ,207,00,00,00,00,00,00,00,00,PCM
17:18:01.636,  ,353,32,00,00,00,7F,FF,49,00,HIM
17:18:01.636,  ,230,06,40,00,FF,82,FF,FF,11,PCM
17:18:01.636,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:01.636,  ,437,00,B1,C0,8B,FF,00,00,B2,IC
17:18:01.636,  ,500,00,80,00,00,00,00,00,00,IC
17:18:01.636,  ,553,02,D8,80,00,03,6F,0D,00,IC
17:18:01.637,  ,6F6,15,82,3C,DF,11,09,3C,6D,PCM IMMO
17:18:01.637,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:01.638,  ,403,03,00,FF,FF,FF,00,00,00,BEM
17:18:01.638,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:01.638,  ,623,28,34,12,02,00,00,00,00,PCM
17:18:01.638,  ,640,48,60,00,67,60,80,00,00,PCM
17:18:01.639,  ,307,00,00,00,80,00,08,07,0A,ACM
17:18:01.640,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:01.640,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:01.641,  ,6F6,15,7E,C1,22,EC,F7,C0,93,PCM IMMO
17:18:01.758,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:02.023,  ,437,00,B1,C0,8A,FF,00,00,B2,IC
17:18:02.056,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:02.148,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:02.382,  ,6F6,15,5B,D6,35,45,19,E1,75,PCM IMMO
17:18:02.429,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:03.021,  ,437,00,B1,C0,8B,FF,00,00,B2,IC
17:18:03.100,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:03.210,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:03.350,  ,6F6,15,44,FB,18,D6,CC,FA,A8,PCM IMMO
17:18:03.491,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:03.677,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:03.878,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:03.972,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:04.252,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:04.456,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:04.551,  ,6F6,15,85,88,6B,DB,07,FF,6B,PCM IMMO
17:18:04.645,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:04.834,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:05.419,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:05.511,  ,6F6,15,22,9D,7E,B0,AA,9C,CE,PCM IMMO
17:18:05.604,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:05.889,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:06.093,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:06.656,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:06.703,  ,6F6,15,1D,A2,41,8F,95,A3,F1,PCM IMMO
17:18:06.857,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:07.046,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:07.236,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:07.671,  ,6F6,15,34,B7,54,DC,70,88,1C,PCM IMMO
17:18:07.809,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:08.011,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:08.290,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:08.490,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:08.631,  ,6F6,15,FB,44,A7,69,73,45,17,PCM IMMO
17:18:09.162,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:09.256,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:09.458,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:09.648,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:09.838,  ,6F6,15,66,69,8A,B2,7E,86,12,PCM IMMO
17:18:10.213,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:10.415,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:10.694,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:10.882,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:11.038,  ,6F6,15,C1,7E,9D,53,48,7F,2C,PCM IMMO
17:18:11.555,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:11.662,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:11.852,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:11.993,  ,6F6,15,BC,03,E0,2E,3B,02,57,PCM IMMO
17:18:12.041,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:12.724,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:12.817,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:12.958,  ,6F6,15,AF,10,F3,3D,27,11,43,PCM IMMO
17:18:13.098,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:13.300,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:13.972,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:14.065,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:14.159,  ,6F6,15,9A,25,C6,08,13,25,77,PCM IMMO
17:18:14.253,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:14.439,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:15.113,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:15.114,  ,6F6,15,4F,CA,29,69,75,8D,19,PCM IMMO
17:18:15.206,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:15.503,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:15.691,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:16.269,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:16.316,  ,6F6,15,60,DF,3C,F2,E8,DE,8C,PCM IMMO
17:18:16.472,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:16.660,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:16.846,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:17.283,  ,6F6,15,52,EC,0F,C1,D9,EC,BD,PCM IMMO
17:18:17.426,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:17.610,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:17.905,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:18.093,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:18.235,  ,6F6,15,4E,F1,12,DC,C6,F0,A2,PCM IMMO
17:18:18.673,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:18.861,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:19.050,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:19.253,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:19.441,  ,6F6,15,38,86,65,AB,B3,86,D7,PCM IMMO
17:18:19.819,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:20.020,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:20.312,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:20.497,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:20.651,  ,6F6,15,28,AB,48,C0,AC,54,C0,PCM IMMO
17:18:21.167,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:21.275,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:21.465,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:21.607,  ,6F6,15,07,B8,5B,95,80,B9,EC,PCM IMMO
17:18:21.654,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:22.231,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:22.419,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:22.559,  ,6F6,15,F2,4D,AE,60,7A,4C,1E,PCM IMMO
17:18:22.715,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:22.902,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:23.476,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:23.663,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:23.772,  ,6F6,15,ED,52,B1,7F,64,53,00,PCM IMMO
17:18:23.865,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:24.051,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:24.723,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:24.724,  ,6F6,15,D8,67,84,4A,51,66,35,PCM IMMO
17:18:24.831,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:25.112,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:25.300,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:25.880,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:25.928,  ,6F6,15,71,74,97,57,4B,B3,27,PCM IMMO
17:18:26.066,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:26.270,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:26.458,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:26.894,  ,6F6,15,A7,19,FA,34,2C,19,48,PCM IMMO
17:18:27.126,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:27.220,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:27.515,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:27.704,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:27.842,  ,6F6,15,91,2E,CD,03,19,2F,7D,PCM IMMO
17:18:28.665,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:28.867,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:29.053,  ,6F6,15,8D,33,D0,1E,06,33,62,PCM IMMO
17:18:29.440,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:29.628,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:29.909,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:30.113,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:30.253,  ,6F6,15,7F,C0,23,ED,F6,C1,92,PCM IMMO
17:18:30.691,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:30.878,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:31.065,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:31.205,  ,6F6,15,52,D5,36,2E,A2,5A,CE,PCM IMMO
17:18:31.268,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:31.927,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:32.036,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:32.176,  ,6F6,15,45,FA,19,D7,CD,FB,A9,PCM IMMO
17:18:32.314,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:32.515,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:33.095,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:33.282,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:33.376,  ,6F6,15,30,8F,6C,A2,B9,8E,DD,PCM IMMO
17:18:33.470,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:33.657,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:34.332,  ,427,15,00,00,8C,00,88,05,00,PCM
17:18:34.333,  ,6F6,15,23,9C,7F,B1,AA,9D,CE,PCM IMMO
17:18:34.426,  ,427,15,00,00,8B,00,88,05,00,PCM
17:18:34.724,  ,427,15,00,00,8C,00,88,05,00,PCM
